timestamp,attraction_id,crowd_score,weather,temperature,rain_flag,holiday_flag,event_flag,day_of_week,hour
2026-03-17 06:00:00,DN001,60,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN002,51,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN003,42,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN004,37,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN005,56,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN006,54,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN007,67,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN008,65,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN009,45,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN010,65,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN011,26,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN012,66,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN013,43,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN014,59,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN015,51,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN016,24,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN017,49,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN018,41,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN019,21,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 06:00:00,DN020,23,nắng nhẹ,28,0,0,0,Tuesday,6
2026-03-17 07:00:00,DN001,63,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN002,59,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN003,43,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN004,39,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN005,52,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN006,66,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN007,66,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN008,61,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN009,53,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN010,65,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN011,32,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN012,74,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN013,48,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN014,59,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN015,47,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN016,25,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN017,52,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN018,41,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN019,23,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 07:00:00,DN020,24,nắng nhẹ,28,0,0,0,Tuesday,7
2026-03-17 08:00:00,DN001,63,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN002,52,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN003,48,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN004,32,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN005,58,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN006,64,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN007,68,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN008,61,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN009,60,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN010,71,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN011,26,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN012,76,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN013,58,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN014,56,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN015,47,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN016,18,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN017,56,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN018,36,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN019,23,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 08:00:00,DN020,33,nắng nhẹ,28,0,0,0,Tuesday,8
2026-03-17 09:00:00,DN001,60,nắng nhẹ,28,0,0,0,Tuesday,9
2026-03-17 09:00:00,DN002,57,nắng nhẹ,28,0,0,0,Tuesday,9
2026-03-17 09:00:00,DN003,57,nắng nhẹ,28,0,0,0,Tuesday,9
2026-03-17 09:00:00,DN004,50,nắng nhẹ,28,0,0,0,Tuesday,9
2026-03-17 09:00:00,DN005,56,nắng nhẹ,28,0,0,0,Tuesday,9
2026-03-17 09:00:00,DN006,59,nắng nhẹ,28,0,0,0,Tuesday,9
2026-03-17 09:00:00,DN007,45,nắng nhẹ,28,0,0,0,Tuesday,9
2026-03-17 09:00:00,DN008,52,nắng nhẹ,28,0,0,0,Tuesday,9
2026-03-17 09:00:00,DN009,54,nắng nhẹ,28,0,0,0,Tuesday,9
2026-03-17 09:00:00,DN010,55,nắng nhẹ,28,0,0,0,Tuesday,9
2026-03-17 09:00:00,DN011,27,nắng nhẹ,28,0,0,0,Tuesday,9
2026-03-17 09:00:00,DN012,63,nắng nhẹ,28,0,0,0,Tuesday,9
2026-03-17 09:00:00,DN013,58,nắng nhẹ,28,0,0,0,Tuesday,9
2026-03-17 09:00:00,DN014,49,nắng nhẹ,28,0,0,0,Tuesday,9
